phonome1,phonome2,distance
b,b,0.0
b,by,0.14285714285714285
b,p,0.14285714285714285
b,py,0.2857142857142857
b,m,0.2857142857142857
b,my,0.42857142857142855
b,f,0.2857142857142857
b,w,0.2857142857142857
b,d,0.14285714285714285
b,dy,0.2857142857142857
b,t,0.2857142857142857
b,ts,0.42857142857142855
b,ch,0.5714285714285714
b,s,0.42857142857142855
b,sh,0.5714285714285714
b,z,0.2857142857142857
b,j,0.42857142857142855
b,n,0.42857142857142855
b,ny,0.5714285714285714
b,r,0.2857142857142857
b,ry,0.42857142857142855
b,y,0.5714285714285714
b,k,0.2857142857142857
b,ky,0.42857142857142855
b,g,0.14285714285714285
b,gy,0.2857142857142857
b,h,0.42857142857142855
b,hy,0.5714285714285714
b,sp,1.0
by,b,0.14285714285714285
by,by,0.0
by,p,0.2857142857142857
by,py,0.14285714285714285
by,m,0.42857142857142855
by,my,0.2857142857142857
by,f,0.42857142857142855
by,w,0.42857142857142855
by,d,0.2857142857142857
by,dy,0.14285714285714285
by,t,0.42857142857142855
by,ts,0.5714285714285714
by,ch,0.42857142857142855
by,s,0.5714285714285714
by,sh,0.42857142857142855
by,z,0.42857142857142855
by,j,0.2857142857142857
by,n,0.5714285714285714
by,ny,0.42857142857142855
by,r,0.42857142857142855
by,ry,0.2857142857142857
by,y,0.42857142857142855
by,k,0.42857142857142855
by,ky,0.2857142857142857
by,g,0.2857142857142857
by,gy,0.14285714285714285
by,h,0.5714285714285714
by,hy,0.42857142857142855
by,sp,1.0
p,b,0.14285714285714285
p,by,0.2857142857142857
p,p,0.0
p,py,0.14285714285714285
p,m,0.42857142857142855
p,my,0.5714285714285714
p,f,0.14285714285714285
p,w,0.42857142857142855
p,d,0.2857142857142857
p,dy,0.42857142857142855
p,t,0.14285714285714285
p,ts,0.2857142857142857
p,ch,0.42857142857142855
p,s,0.2857142857142857
p,sh,0.42857142857142855
p,z,0.42857142857142855
p,j,0.5714285714285714
p,n,0.5714285714285714
p,ny,0.7142857142857143
p,r,0.42857142857142855
p,ry,0.5714285714285714
p,y,0.7142857142857143
p,k,0.14285714285714285
p,ky,0.2857142857142857
p,g,0.2857142857142857
p,gy,0.42857142857142855
p,h,0.2857142857142857
p,hy,0.42857142857142855
p,sp,1.0
py,b,0.2857142857142857
py,by,0.14285714285714285
py,p,0.14285714285714285
py,py,0.0
py,m,0.5714285714285714
py,my,0.42857142857142855
py,f,0.2857142857142857
py,w,0.5714285714285714
py,d,0.42857142857142855
py,dy,0.2857142857142857
py,t,0.2857142857142857
py,ts,0.42857142857142855
py,ch,0.2857142857142857
py,s,0.42857142857142855
py,sh,0.2857142857142857
py,z,0.5714285714285714
py,j,0.42857142857142855
py,n,0.7142857142857143
py,ny,0.5714285714285714
py,r,0.5714285714285714
py,ry,0.42857142857142855
py,y,0.5714285714285714
py,k,0.2857142857142857
py,ky,0.14285714285714285
py,g,0.42857142857142855
py,gy,0.2857142857142857
py,h,0.42857142857142855
py,hy,0.2857142857142857
py,sp,1.0
m,b,0.2857142857142857
m,by,0.42857142857142855
m,p,0.42857142857142855
