phonome1,phonome2,distance
d,t,70.38428484
d,ts,70.37504804000001
d,w,73.22588408000001
d,y,69.77728388000003
d,z,66.31757875999999
dy,b,72.8585902
dy,by,71.23986980000001
dy,ch,77.35902340000001
dy,d,72.13638079999998
dy,dy,58.574035999999985
dy,f,78.72824659999998
dy,g,72.45794420000001
dy,gy,71.0735106
dy,h,76.59238819999999
dy,hy,75.3766912
dy,j,71.95610959999999
dy,k,75.1146542
dy,ky,74.9680844
dy,m,75.33721459999998
dy,my,80.57874420000002
dy,n,73.78167060000001
dy,ny,73.94688380000001
dy,p,80.95770680000001
dy,py,79.78084639999999
dy,r,72.23054959999999
dy,ry,70.96024479999997
dy,s,76.81516960000003
dy,sh,73.96710160000002
dy,sp,74.346295
dy,t,77.57551640000001
dy,ts,77.847555
dy,w,82.68386679999996
dy,y,73.1405148
dy,z,75.1489684
f,b,66.86877736000001
f,by,68.81954855999999
f,ch,66.97538875999999
f,d,67.50999836
f,dy,78.33487660000002
f,f,61.46707316000001
f,g,65.6532048
f,gy,66.79141699999997
f,h,66.05066344000001
f,hy,68.09738535999999
f,j,66.48469212
f,k,65.34440408
f,ky,65.51185748
f,m,68.3022124
f,my,73.48718911999998
f,n,67.34562844
f,ny,69.01954432000001
f,p,66.28963352000001
f,py,67.79667692000002
f,r,65.38155548
f,ry,68.58261096000001
f,s,65.72708956
f,sh,67.53249100000001
f,sp,64.89660599999999
f,t,66.05343508
f,ts,66.50315504
f,w,68.9570362
f,y,67.61268324
f,z,67.15218668
g,b,69.87685619999998
g,by,72.75926123999997
g,ch,72.58836928000001
g,d,68.71105800000001
g,dy,80.66387499999999
g,f,72.72627939999998
g,g,66.86239036
g,gy,68.49591607999997
g,h,72.64980788000001
g,hy,72.69487543999998
g,j,69.00880024
g,k,70.53449832
g,ky,70.85506484000003
g,m,72.24281212
g,my,73.66140764
g,n,70.07644828000001
g,ny,71.2812324
g,p,73.55537872
g,py,77.17782243999999
g,r,69.06036343999999
g,ry,69.15555071999998
g,s,72.20444407999999
g,sh,72.34281335999998
g,sp,72.0426536
g,t,72.85812427999998
g,ts,72.18354771999999
g,w,73.86425976
g,y,71.65008976
g,z,69.80647824
gy,b,71.78706836
gy,by,69.30011796000001
gy,ch,73.33056591999998
gy,d,70.60923023999999
gy,dy,77.05171060000004
gy,f,75.66803044
gy,g,70.03396624000001
gy,gy,63.72137768
gy,h,73.88196803999999
gy,hy,70.08264932
gy,j,69.51878295999997
gy,k,72.55191504
gy,ky,69.81185424000005
gy,m,73.41044888000002
gy,my,72.96380859999998
gy,n,70.27563380000001
gy,ny,70.30315288000003
gy,p,76.809319
gy,py,72.34451351999998
gy,r,69.76801131999997
gy,ry,66.20607740000001
gy,s,74.0943
gy,sh,71.99918092000001
gy,sp,72.96735579999999
gy,t,75.06886667999999
gy,ts,73.70885012
gy,w,75.98708395999998
gy,y,67.89165655999999
gy,z,71.57117436000001
h,b,69.15143824000002
h,by,71.26180707999998
h,ch,66.69766672
h,d,68.42479707999999
h,dy,77.88824720000001
h,f,65.91637452
h,g,66.42878296000002
h,gy,66.69407903999999
h,h,64.37963716
h,hy,66.67377508
h,j,66.62094504000001
h,k,65.43895416
h,ky,64.84426239999999
h,m,70.69077436
h,my,75.00701420000001
h,n,68.15417779999999
h,ny,69.51661767999998
h,p,67.7753564
h,py,69.86665255999998
h,r,66.58410119999999
h,ry,69.02604183999999
h,s,66.04648392
h,sh,66.84639776
h,sp,65.0991422
h,t,66.42592472
h,ts,66.67466732000001
h,w,70.75551983999999
h,y,66.77387564
h,z,67.88417895999999
hy,b,71.91991123999999
hy,by,75.10363195999999
hy,ch,70.02862828
hy,d,71.21455352000001
hy,dy,78.6767076
hy,f,73.24083756000002
hy,g,69.63974836000001
hy,gy,67.73803240000001
hy,h,70.49375359999998
hy,hy,62.37357091999998
hy,j,69.85676948
hy,k,70.54804692000002
hy,ky,65.20511836000001
hy,m,73.64560604
hy,my,77.89610416000001
hy,n,70.10911107999999
hy,ny,72.2177312
hy,p,74.61792856000001
hy,py,70.76071916000002
hy,r,69.51423379999999
hy,ry,70.14550448
hy,s,71.47185684000002
hy,sh,68.55916296000001
hy,sp,70.6354854
hy,t,71.45983931999999
hy,ts,71.64185379999999
hy,w,75.69612675999998
hy,y,67.44941647999998
hy,z,72.23857692
j,b,69.99324983999999
j,by,71.54129364
j,ch,66.94851288
j,d,67.23276747999999
j,dy,74.26054500000001
j,f,73.34897391999998
j,g,67.79945907999999
j,gy,65.82882364
j,h,71.06354816000002
j,hy,68.9421986
j,j,62.57285335999999
j,k,69.46067812
j,ky,67.8147006
j,m,73.20796264
j,my,75.45965335999999
j,n,68.31044572
j,ny,69.12112868000003
j,p,72.81171383999998
j,py,74.10783364000001
j,r,68.75192212
j,ry,68.34385936000001
j,s,69.18533759999998
j,sh,67.934765
j,sp,70.68865400000001
j,t,70.29090103999998
j,ts,67.92828508000001
j,w,76.95909008
j,y,68.26082496
j,z,65.40804031999998
k,b,71.44782352000001
k,by,74.81768304
k,ch,68.68259280000001
k,d,70.38030228
k,dy,81.10516979999997
k,f,69.61473712000002
k,g,67.58317656
k,gy,68.21207740000001
k,h,68.81974812
k,hy,70.81224792
k,j,68.42155736000001
k,k,65.90831248
k,ky,66.67286940000001
k,m,74.36556688000002
k,my,78.10900844000001
k,n,70.78406247999999
k,ny,72.39033260000001
k,p,69.93115572
k,py,72.28975324
k,r,68.81383444
k,ry,71.58943452
k,s,68.93824276000001
k,sh,69.82514755999999
k,sp,68.31215080000001
k,t,67.98316403999999
k,ts,68.84020748
k,w,74.89931335999998
k,y,70.05495468000002
k,z,70.1458822
ky,b,72.29725679999997
ky,by,74.93465876
ky,ch,68.64269444000003
ky,d,70.58556855999998
ky,dy,78.45099520000002
ky,f,72.99939932000001
ky,g,69.29990863999997
ky,gy,66.83338716000002
ky,h,70.51933783999999
ky,hy,66.92210816
ky,j,69.02333036000002
ky,k,69.69185119999999
ky,ky,63.200015639999975
ky,m,74.96296968000001
ky,my,77.75672055999999
ky,n,70.512944
ky,ny,72.88574076000005
ky,p,73.39911324000002
ky,py,70.42491983999999
ky,r,69.38201991999999
ky,ry,70.45068259999998
ky,s,70.97438772
ky,sh,69.21735432
ky,sp,70.5883838
ky,t,70.27190483999999
ky,ts,70.0915508
ky,w,76.93175019999997
ky,y,68.49776064000002
ky,z,71.05607611999999
m,b,65.85974968
m,by,68.16781524000002
m,ch,72.93431768
m,d,66.83080972000002
m,dy,83.14894279999997
m,f,71.46529312000001
m,g,66.07579483999999
m,gy,67.14793567999999
m,h,72.72712695999999
m,hy,72.70315199999999
m,j,67.58679160000001
m,k,70.99901212
m,ky,71.18520484000001
m,m,63.28386067999999
m,my,66.0328648
m,n,64.37055224000001
m,ny,65.94355732
m,p,73.38203211999999
m,py,74.82167391999998
m,r,65.04661456
m,ry,66.16352719999999
m,s,72.5486858
m,sh,72.84111132
m,sp,72.1740082
m,t,74.43357816000001
m,ts,72.1946936
m,w,68.67009327999999
m,y,69.56874864000001
m,z,67.45537891999999
my,b,71.98788135999999
my,by,67.78656052000001
my,ch,77.28072920000001
my,d,72.35084720000002
my,dy,80.61739380000003
my,f,75.97512563999999
my,g,70.61439036
my,gy,68.68429672
my,h,74.97725268
my,hy,72.65208147999998
my,j,71.54528099999999
my,k,74.61945376
my,ky,73.67670231999999
my,m,71.1021852
my,my,60.93385703999999
my,n,68.37281464000002
my,ny,65.46950672000001
my,p,79.93872964
my,py,74.44284035999999
my,r,68.98793987999998
my,ry,66.72882059999998
my,s,75.89924967999998
my,sh,73.62665675999997
my,sp,73.8610412
my,t,78.31230888
my,ts,76.96662988
my,w,73.70809664000002
my,y,68.98647980000004
my,z,73.19139511999997
n,b,68.02093864
n,by,69.97159536000001
n,ch,73.28448456000001
n,d,67.37371647999998
n,dy,80.9135294
n,f,73.63239795999999
n,g,66.87660471999999
n,gy,67.67310207999999
n,h,73.20691539999999
n,hy,72.80747508000003
n,j,68.11615192
n,k,71.50517148
n,ky,72.01511508
n,m,67.11852192000002
n,my,68.73770264000001
n,n,63.821188839999984
n,ny,66.90929956
n,p,75.63700191999999
n,py,76.54807695999997
n,r,66.40634127999999
n,ry,67.23425688000002
n,s,73.13491836000001
n,sh,72.60007204000001
n,sp,72.55870259999999
n,t,74.96706636
n,ts,73.11866004000001
n,w,70.77112627999998
n,y,69.68847416
n,z,68.44599527999999
ny,b,71.23819912
ny,by,67.65824951999998
ny,ch,75.27323412000001
ny,d,70.6879956
ny,dy,77.67615399999997
ny,f,74.62056864
ny,g,69.35127392000001
ny,gy,66.91851580000001
ny,h,73.95088035999999
ny,hy,71.66786916000004
ny,j,69.461306
ny,k,73.34457136
ny,ky,72.32121068000001
ny,m,70.83188167999998
ny,my,65.18357491999997
ny,n,67.20219568
ny,ny,60.90106987999998
ny,p,78.36001884
ny,py,74.20653511999998
ny,r,68.3507038
ny,ry,65.56315664000003
ny,s,74.23084244000002
ny,sh,72.63533116
ny,sp,73.025637
ny,t,76.53876292000001
ny,ts,74.8079614
ny,w,73.03250763999999
ny,y,67.36142528000002
ny,z,71.07549972000001
p,b,64.91642576
p,by,68.2628192
p,ch,67.25185580000002
p,d,65.48097436
p,dy,78.6819298
p,f,66.44567244000001
p,g,65.53660076
p,gy,66.3977104
p,h,66.86817096
p,hy,68.37950259999998
p,j,66.55170795999999
p,k,65.33942484
p,ky,65.43389155999999
p,m,68.68885168
p,my,71.49736248
p,n,67.13875251999998
p,ny,68.87062604000002
p,p,63.062612200000004
p,py,66.27180788000003
p,r,65.04766276000001
p,ry,67.09020952
p,s,66.72012584
p,sh,67.34329112
p,sp,66.20163260000001
p,t,64.49305363999999
p,ts,67.19593564
p,w,69.16441936000001
p,y,67.2201164
p,z,66.72526004000002
py,b,71.53222299999999
py,by,67.63105472
py,ch,75.21861036000001
py,d,71.20479412
py,dy,80.9999782
py,f,74.12149231999999
py,g,70.54866199999998
py,gy,68.68228399999998
py,h,72.78882344000002
py,hy,69.53784428000002
py,j,71.81912600000001
py,k,73.08752951999998
py,ky,69.46583560000005
py,m,73.53205236
py,my,71.76648012
py,n,70.371101
py,ny,72.62002328
py,p,74.3594056
py,py,62.15160459999999
py,r,68.2742278
py,ry,66.97488744000002
py,s,73.51756140000002
py,sh,70.77899088
py,sp,72.86343
py,t,73.87012852000002
py,ts,75.34845879999997
py,w,74.60422368000003
py,y,67.78668628
py,z,73.43538847999999
r,b,69.58590899999999
r,by,70.59843300000001
r,ch,75.15070912
r,d,69.00480012000001
r,dy,84.36574900000004
r,f,74.09653240000002
r,g,69.24730004
r,gy,69.58330215999999
r,h,73.6796536
r,hy,73.22853588
r,j,70.67807472
r,k,72.93177187999999
r,ky,72.1408912
r,m,70.35950543999999
r,my,70.295233
r,n,68.64775811999999
r,ny,70.60950032000001
r,p,75.41333992000001
r,py,74.48958552
r,r,65.6077162
r,ry,67.8131096
r,s,73.87918288
r,sh,73.40960264
r,sp,73.1364462
r,t,74.77623524000002
r,ts,74.03030084000001
r,w,73.61711456
r,y,70.94009195999998
r,z,70.52795699999999
ry,b,72.87654703999999
ry,by,68.259599
ry,ch,77.7613972
ry,d,72.86738064000001
ry,dy,79.59219719999997
ry,f,78.05825380000002
ry,g,71.75520636
ry,gy,67.46636224000001
ry,h,76.14177335999999
ry,hy,72.09194159999998
ry,j,72.30017407999999
ry,k,75.74131204
ry,ky,72.92060224
ry,m,73.81130988000001
ry,my,70.01655372
ry,n,70.87328091999998
ry,ny,69.98315812000001
ry,p,80.61552679999998
ry,py,71.81168692000001
ry,r,69.60163656
ry,ry,62.961173360000004
ry,s,76.98567107999996
ry,sh,73.94409788000002
ry,sp,74.99130040000001
ry,t,78.70317919999998
ry,ts,77.76130371999999
ry,w,75.05314568000003
ry,y,67.73018219999999
ry,z,74.24808223999999
s,b,68.60303440000001
s,by,72.18630924
s,ch,63.029501440000004
s,d,66.494199
s,dy,77.61667480000003
s,f,67.04629496000001
s,g,65.18325828
s,gy,65.62951204000002
s,h,65.76454204000001
s,hy,66.53381788
s,j,64.45916032000001
s,k,64.51463332
s,ky,63.966741999999996
s,m,71.19707752000001
s,my,75.30149123999999
s,n,66.40286924
s,ny,67.36294104
s,p,67.61436683999999
s,py,70.25721303999998
s,r,66.20382735999998
s,ry,70.93531684000001
s,s,58.956707079999994
s,sh,62.14267956000001
s,sp,64.95125279999999
s,t,64.38685364
s,ts,60.61673344
s,w,73.48787648000001
s,y,66.30539503999998
s,z,62.73623576
sh,b,71.81177760000001
sh,by,78.10421772000001
sh,ch,62.555589239999996
sh,d,68.7972204
sh,dy,77.80524660000003
sh,f,71.29877231999998
sh,g,67.4167572
sh,gy,66.90526967999999
sh,h,67.34194868
sh,hy,64.73417024
sh,j,64.32526156
sh,k,66.90722544
sh,ky,64.60711463999999
sh,m,74.69099459999998
sh,my,79.21630292
sh,n,67.8492562
sh,ny,69.06287087999999
sh,p,71.86414679999999
sh,py,74.10060872000003
sh,r,68.37199388
sh,ry,72.67681420000001
sh,s,63.15559216
sh,sh,59.925098399999996
sh,sp,67.47584839999999
sh,t,66.83998919999999
sh,ts,63.512179640000014
sh,w,78.37812516
sh,y,66.73432107999999
sh,z,66.10014919999999
sp,b,57.6242798
