phonon1,phonon2,distance
b-a:,g-i,81.429288
b-a:,g-i:,88.113027
b-a:,g-u,70.912565
b-a:,g-u:,71.389915
b-a:,g-e,75.544098
b-a:,g-e:,79.889656
b-a:,g-o,64.45101
b-a:,g-o:,66.862451
b-a:,h-a,58.270079
b-a:,h-a:,54.928059
b-a:,h-i,83.436789
b-a:,h-i:,84.863755
b-a:,h-u,72.428828
b-a:,h-u:,71.389915
b-a:,h-e,75.038055
b-a:,h-e:,79.524836
b-a:,h-o,65.408418
b-a:,h-o:,67.134881
b-a:,y-a,61.43233
b-a:,y-a:,57.41419
b-a:,y-i,84.402725
b-a:,y-i:,87.837389
b-a:,y-u,74.576002
b-a:,y-u:,76.364315
b-a:,y-e,75.251362
b-a:,y-e:,78.672906
b-a:,y-o,65.810513
b-a:,y-o:,66.835822
b-a:,k-a,58.584911
b-a:,k-a:,55.802277
b-a:,k-i,82.128632
b-a:,k-i:,88.215167
b-a:,k-u,72.257936
b-a:,k-u:,71.389915
b-a:,k-e,77.401347
b-a:,k-e:,79.443156
b-a:,k-o,65.471146
b-a:,k-o:,67.238443
b-a:,m-a,58.027335
b-a:,m-a:,53.374189
b-a:,m-i,80.473558
b-a:,m-i:,83.508333
b-a:,m-u,68.686916
b-a:,m-u:,71.389915
b-a:,m-e,74.518123
b-a:,m-e:,77.566142
b-a:,m-o,65.113285
b-a:,m-o:,67.723956
b-a:,n-a,58.946133
b-a:,n-a:,56.903346
b-a:,n-i,81.492726
b-a:,n-i:,83.508333
b-a:,n-u,68.720551
b-a:,n-u:,72.769189
b-a:,n-e,73.636793
b-a:,n-e:,77.809255
b-a:,n-o,63.340331
b-a:,n-o:,66.297983
b-a:,p-a,57.675622
b-a:,p-a:,53.374189
b-a:,p-i,82.37985
b-a:,p-i:,84.863755
b-a:,p-u,71.070565
b-a:,p-u:,71.389915
b-a:,p-e,75.54536
b-a:,p-e:,79.324168
b-a:,p-o,65.271897
b-a:,p-o:,66.818918
